Achievements Name,実績日本語名,国家タグ,難易度,DLC,達成条件,日本語Wiki補足説明,英語Wiki補足説明,英語Wikiリンク

I have the high ground,地の利を得たぞ,AFG,Medium,GoE,アフガニスタンとして、ヒマラヤ山脈のある全ての州を支配する。,"元ネタは「スター・ウォーズ エピソード3／シスの復讐」。
アナキンVSオビ=ワンのシーンで、マグマにある不安定な足場で戦う中、途中でオビ=ワンが安定する陸地に飛び移り言い放ったセリフ。
これだけなら何の変哲もないが、「high ground」が「戦闘で優位に立つ」と「物理的に高所に立つ」といった2つの意味があり、オビ=ワンが移った場所がアナキンより高いとこにあったことから「どっちなんだ…?」と向こうではネタにされている。
そして実績では「have」に焦点が当たり「高所は私の物（物理）」となっている。
なお日本では意訳、珍訳、誤訳を繰り返すスペシャリストである戸田奈津子女史の手により「地の利を得たぞ」と訳されている。",,https://hoi4.paradoxwikis.com/This_achievement_is_dedicated_to_the_brave_soldiers_of...

Savior of the holy lands,聖地の救世主,AFG,Medium,GoE,アフガニスタンとして、パレスチナとメッカを所有する。,,,https://hoi4.paradoxwikis.com/This_achievement_is_dedicated_to_the_brave_soldiers_of...

Cradle of Civilization,文明のゆりかご,IRQ,Very Easy,GoE,イラクで、全中核州のインフラを最大まで建設し、安定性を100%にする。,元ネタは「古代メソポタミア文明」の発祥の地であるメソポタミアが、おおむねイラクに位置したことから。,「Graveyard of Empires」なしでも実行可能です。労働者の労働条件を改善し、反ファシスト襲撃を実行して安定性を高める決定を下すだけです。すべての州で最大限のインフラを構築します。建設努力とインフラ努力のフォーカスを取得して、物事を加速させます。,

Oil Sheiks,石油王,IRQ,Easy,GoE,イラクで500の石油を産出する。,,,https://hoi4.paradoxwikis.com/Oil_Sheiks

Revenge for 1925,1925年の復讐,IRQ,Easy,GoE,イラクで、ハシミテ・アラブ連邦を結成し、サウジアラビアを倒す。,1925年はイラク王であるガージー1世のおじいさんと伯父が在位してしたヒジャーズ王国が、後のサウジアラビアであるナジュド・スルタン国に侵攻を受け併合されたことを指す。,注：アラブ連邦ハシミテ・アラブ連邦の装飾タグは、ハシミテ・アラブ連邦の国家方針を完了することによってのみ入手できます。,

Avenging the Sack of Baghdad,バグダード略奪の復讐,IRQ,Medium,GoE,イラクでモンゴルの首都を制圧する。,"元ネタは、1258年にアッバース朝がモンゴル帝国に侵攻されたバグダードの戦い。
この戦いでアッバース朝は滅び、民間人が20万～200万人も亡くなったとされる。",単純にファシスト政権を樹立し、ドイツと手を組んでソ連を攻撃すればいい。モンゴルはドイツ陣営に加わるはずなので、戦勝点はほとんど必要ないだろう。,

That's Sikh!,それはシク教です!,Khalistan,Easy,GoE,Khalistan（カリスタン）として、開始時のインド領土をすべて支配する。,元ネタは、シク教の信徒集団「カールサー」の国を意味する「カリスタン」をパンジャブ州周辺で起こしたい人たちを意味する。,注：アデン州（992）は必須ではありません。,https://hoi4.paradoxwikis.com/That%27s_Sikh!

Pesky Greeks,厄介なギリシャ人,PER,Medium,GoE,イランで、ギリシャの中核州すべてを所有する。,元ネタは、イランに位置していたアケメネス朝ペルシア帝国の侵攻を古代ギリシアが打ち破ったことから。,『キュロス大王の遺産』と併せてプレイできます。,

The Sands of Time,時間の砂,PER,Hard,GoE,イランで、中東全体を所有する。,プリンス・オブ・ペルシャ 時間の砂（Prince of Persia: The Sands of Time）というゲームが元ネタか?,"「キュロス大王の遺産」と同時に達成可能です。
注：この実績における中東とは、戦略地域（空域）ではなく、大陸全体を指します。",

The Legacy of Cyrus the Great,キュロス大王の遺産,PER,Very Hard,GoE,イランで、かつてのアケメネス朝の領土の所有する。,国家形成「ペルシア帝国の再建」を達成すればよい。,,https://hoi4.paradoxwikis.com/The_Legacy_of_Cyrus_the_Great

From Tehran with Love,テヘランより愛をこめて,PER,Easy,GoE,イランでポーランドに独立保証を行い、1945年まで降伏させない。,"元ネタは小説「007 ロシアから愛をこめて」（From Russia with Love）、後に映画化される。
実績画像にも007がシルエットとして描かれている。
またテヘラン会談という、WW2で開催された米英ソの首脳会談にて、戦後のポーランド国境が話し合われたことや、ポーランド難民がテヘランに避難したことも元ネタか。",,https://hoi4.paradoxwikis.com/From_Tehran_with_Love

It's Just Good Business,全ては利益のため,RAJ,Very Easy,GoE,東インド会社で、スエズとパナマを所有する。,"元ネタは、映画「パイレーツ・オブ・カリビアン」に登場する、東インド会社の権力者「カトラー・ベケット」の口癖から。
実績画像にも彼ががシルエットとして描かれている。
東インド会社とはインドのこと。","敵対的買収の国家方針を最優先で進めましょう（ただし、C-Suite（経営幹部）の国家方針をアンロックするには、会社設立後すぐに「少額配当」の決定を実行する必要があります）。敵対的買収を実行すると、イギリスとアメリカからC-Suiteを買収する決定がアンロックされます。民間工場を増やす国家方針はすべて優先的に進め、同時に工場数を増やしましょう。1938年末までに、両方のC-Suiteを買収できるだけの工場数を確保できるはずです。

注：東インド会社の外観タグは、「東インド会社の設立」の国家方針を完了することでのみ獲得できます。",

Media Mughal,メディア・ムガル,RAJ,Medium,GoE,ムガル帝国で、諜報機関の「心理戦」のアップデートを行い、諜報活動主導国になり、少なくとも8人の諜報員を雇用する。,,注：ムガル帝国の装飾タグは、「シルクロードの拡大」を完了する前に「亜大陸の統一」国家方針を完了した場合にのみ獲得できます。この実績は「道は見つける、なければ作る」と組み合わせることができます。,https://hoi4.paradoxwikis.com/Media_Mughal

"Oh, how the turntables","おお、形勢""回転""だな",RAJ,Hard,GoE,インドで、チャーチルがリーダーのイギリスを傀儡国にする。,"元ネタは、イギリスのドラマ「The Office（ジ・オフィス）」を元にアメリカで再制作されたドラマ「The Office（ジ・オフィス）」に登場するセリフ。
おバカな主人公マイケルが、形勢逆転を意味する「turning the tables」をレコード・プレーヤーのレコードを載せる回転する円盤や転車台を意味する「turntables」と混同したことから。
チャーチルはインド人や文化を見下しており、独立を反対していた。",,"https://hoi4.paradoxwikis.com/Oh,_how_the_turntables"

I'm just passing by,ちょっと通りますよ,RAJ,Medium,GoE,インドで平和状態で各大陸に州を所有する。,,最も簡単なのは東インド会社です。すべての大陸で国家を獲得する方法は次のとおりです。Just Good Business を使用すると、英国海軍を使用して英国からオランダへの海軍侵攻により、西パプア (669) (オーストラリア)、キュラソー (695) (南米)、およびオランダ (ヨーロッパ) の任意の国家を獲得できます。次に、バミューダ (696) (北米)、フランス領ソマリランド (268) またはマダガスカル (543) (アフリカ)、およびアレクサンドレッタ (799) (中東) を購入できます。または、It's Just Good Business 実績も獲得したい場合は、中東と南米の要件を満たすためにスエズ (446) とパナマ運河 (685) を購入することもできます。,

I shall either find a way or make one,道は見つける、なければ作る,RAJ,Hard,GoE,ローマを支配し、その州に象師団を配置する。,"元ネタはカルタゴと共和政ローマの戦いである第二次ポエニ戦争で、戦象はアルプスを越えられないと嘆く将軍に対し、軍最高司令官であるハンニバルが言ったとされる名言。
実際にハンニバルはアルプス越えを成功させた。しかし戦争そのものはローマ側の勝利となった。",象はムガル帝国ルートでのみ利用可能です。この実績は「メディア・ムガル」と組み合わせることができます。,https://hoi4.paradoxwikis.com/Media_Mughal

Battle Royale,バトルロイヤル,PRC,Medium,NCNS,中華ソビエト共和国（中華人民共和国）として、1940年までに中国と日本の両方と戦争状態になってから90日以内に開戦し、両国を降伏させる,開戦が40年までで、降伏させる時期は自由。,"注：要件がやや曖昧で、バグがある可能性もあります。安全のため、中国と日本への宣戦布告の間には少なくとも1日の間隔を空けてください。そうすることで、（まだ存在するかもしれない）バグを回避できるはずです。

1940年までに中国と日本に宣戦布告する必要があります。一方、降伏には時間制限はありません。例えば、私は1942年末までに実績を解除しました。「降伏」の要件は、中国との戦争と日本との戦争でそれぞれ最高得点を獲得することです。

最も簡単で、おそらく最も確実な方法（他の人がどう主張しようとも）は、歴史的シナリオをオフにして、日本が民主主義/共産主義ルート（政治フォーカスツリーの左側）に進むまでリセットすることです。こうすることで、日本は中国を攻撃せず、両国との戦争準備に約4年間を費やすことができます。ただし、中国との戦争で非常に悪い結果が出た場合は別です。日本の政治的未来が決定されるイベントは50日後に発生するため、リセットしても多くの時間を無駄にすることはありません。


準備期間中は、まず経済基盤の強化に注力しましょう。フォーカスツリーの中央ルートを進み、「CSCEC ? 軍事産業の特化」まで進めてください。「特殊商品の貿易許可」と「紙幣の普及促進」は必須ではありませんが、取得しておくと有利です。その後、フォーカスツリーの右側に進み、「三規律の徹底」を取得して、「ウランフとの協力」まで進めてください。工場は1つを砲兵生産に、残りを銃器生産に充てましょう。後々、列車、対空砲、トラック生産も追加できます（ただし、銃器と砲兵を安定的に生産できるようになってからにしてください）。

軍隊に関しては、民兵に重点を置き、最初の100政治力は朱徳に投資して軍事経験値を獲得しましょう。ドクトリンは「大規模攻撃」のままにして、サブドクトリンとして「ゲリラ戦」「人民民兵」、そして少し後に「砲兵と戦闘支援」を選択してください。時間をかけて民兵テンプレート（人民民兵）を戦闘力20まで増やし、支援砲兵を追加してください。さらに可能であれば、支援対空砲と砲兵大隊を1個追加してください（これにより戦闘力は22.2になります）。

「ウランフとの協力」が完了したら、フォーカスツリーの左側に進み、「西方拡大」と「東方遠征」を取得してください。この時点で、あなたの軍隊は国境戦争に容易に勝利できるほど強力になっています。「不本意な二頭政治」と「隣国軍閥への宣戦布告」に進んでください。国境戦争で獲得した工場を使って、（まだ行っていない場合は）民兵を戦闘力20まで増やせるはずです。これは山西省、東北軍、甘粛軍、寧夏軍を壊滅・併合するのに十分な戦力です。その間、浸透ルートを進み、その後「軍閥の忠誠を要求する」目標に取り組みましょう。運が良ければ山東省も獲得できます。

1939年11月までに「占領軍の追放」と「先制攻撃」の目標を必ず達成し、戦争目標を準備しておきましょう。支援付きの民兵部隊36～48個と砲兵1個があれば、中国本土の侵攻を食い止めるのに十分です。浸透作戦の成果と合わせれば、中国本土の制圧は容易でしょう。歴史的AIをオフにすれば、中国が陣営に加わる可能性が高く、和平交渉が行われる前に降伏を迫られることになります。中国の工業力が自国の工業力に加算されるため、日本の海軍侵攻から海岸線を守るのは容易です。砲兵支援付きの民兵部隊12個編成テンプレートを作成し、十分な数を投入しましょう。

残るは日本だけです。空挺部隊と輸送機の研究を開始し、その間に北/北東の軍閥を排除することに集中し、その後朝鮮を征服します。あとは「慶尚」に飛行場を建設し、そこから日本本土に空挺降下するだけです。これには空軍は必要ありません。日本はしばしば空軍を飛ばさないか、少し待つ必要があります（または単にセーフをリロードします。制空権が記録されるまでゲーム内で数時間かかります）。空挺部隊は（いずれ）行きます。日本のAIも兵士で本土を適切に守らないので、軍隊を1つまたは複数の港で待機させておきます。空挺部隊が1つを占領したら、輸送して（迎撃されることを心配する必要はありません。海軍AIはNCNS以来死んでいるようです）、日本を降伏させます。中国と同様に、日本は基本的に和平交渉の前に降伏が見られることを確実にする派閥に参加/作成している可能性があります。",

The Winner takes it all,勝者の総取り,PRC,Medium,NCNS,中華ソビエト共和国（中華人民共和国）として、初期の中国の中核州をすべて領有・支配する。,,新疆がソ連の傀儡政権にならなければ、歴史モードで簡単に達成できます。この実績は占領だけでなく、自国のコア領土の所有権を必要とすることに注意してください。これは連合国との全面戦争につながる可能性もありますが、実際には中華人民共和国は占領国からこれらの条約港を要求するだけの国家方針を持っています。ツリーを使って民主主義に切り替え、正当化することで世界情勢を大きく悪化させなければ、彼らは簡単にそれらをあなたに譲り渡してくれるようです。,

Master Infiltrator,熟練の侵入者,PRC,Easy,NCNS,中華ソビエト共和国（中華人民共和国）として、初期の延安から拡張することなく、他の中国国家を攻撃するときに、5つ以上の州をこちら側に寝返らせる。,,"歴史的毛沢東ルートを選択し、歴史的フォーカスを有効にすれば、非常に簡単に達成できます。政治力（PP）を得られるアドバイザーをできるだけ多く雇いましょう。ただし、中国が日本に滅ぼされないように、十分な戦力を維持する必要があります。日本の占領下では、他国への浸透が不可能になり、浸透の進行状況もリセットされます。軍閥国家への浸透は避けた方が良いでしょう。軍閥と中国の両方が浸透を解除する決定を下すため、中国の他国に浸透するよりもはるかに早く解除されてしまいます。日本に勝利する必要すらありません。ツリーを十分に進めれば、統一戦線から離脱して独自の陣営を結成し、宣戦布告して実績をより早く獲得できます。

注：この実績はバグがある可能性があります。「満州国または再編成国民政府以外の中国国家と戦争状態にある」という条件を満たす必要があります。",

Its all coming together,すべてうまくいく,CHI,Medium,NCNS,中華民国として、自国の中核州を持つ軍閥を属国にするか併合する。,"ディズニーのアニメ映画『ラマになった王様』に出てくる憎めない悪役*4「クロンク」のセリフが元ネタ。
主人公を探す中で「主人公は農夫の馬車で逃げた」→「村を見つければ農夫も主人公もいるのでは!?」→「Oh Yeah, It's All Coming Together.（ああ、そうだ。全部うまくいきそうだ。）」の流れとなる。
アイコンはクロンクのドヤ顔を模した?介石。","必要な国家は、「目覚めと怒り」の達成に必要なすべての国家、すなわち中国、中華民国、すべての軍閥（新疆を含む）、満州国、チベットの蒙疆、カム（601）の初期領土、そして日本支配下にある3つの国家（台湾、東河北、大仁）に加え、3つの条約港（祁孔湾、マカオ、香港）です。朝鮮、モンゴル、チベットの残りの地域は必要ありません。すべての国家を完全に支配下に置く必要があります（いずれかの国家の1つの州でも支配していないと実績は解除されません）。そのため、条件を満たしていなくても、派閥マニフェストの達成率100%（76/76国家を支配）を達成できます。

運が良ければ、「沿岸都市の引き渡し要求」フォーカス（「当国」/非同盟フォーカスツリーのみ）を通じて、ヨーロッパの条約港を引き渡すことも可能です。承認される可能性を高めるには、彼らの派閥と戦争に参加し、彼らの評価を50以上に上げましょう。",

The Coast is Clear,誰もいない,CHI,Hard,NCNS,中華民国として、1945年9月2日までに初期の沿岸州を1つも失わない。,"1945年9月2日は、日本が降伏文書に署名した日。中華民国は翌9月3日を「対日戦争勝利記念日」としていた。これは中華人民共和国においても「抗日戦争勝利記念日」と称し、2015年に祝日と制定された。
「誰もいない OR 人目なし」を意味する言葉に海岸を意味する「Coast」が使われている理由は、海賊が蔓延っていた時代で接岸する際に敵の有無を確かめていたことから。",歴史的フォーカスをオフにすると最も簡単に実行できます。日本は北進論を唱える可能性があり、その結果、日本はあなたと不可侵条約を結び、代わりにソ連を攻撃することになります。「すべてうまくいく」と「鋼の兄弟」と組み合わせることもできますが、安全にプレイする必要があります。これは中国の初期の沿岸州のみであり、すべてのコアではないことに注意してください。そのため、後で征服する沿岸州を失っても問題ありません（ただし、青島は1つの州しかないため、誤って失う可能性が高いので注意してください）。,

A Fullmetal Brotherhood,鋼の兄弟,CHI,Medium,NCNS,ファシ化した中華民国で、鋼鉄、タングステン、クロムをそれぞれ300以上保有する。,"2009年に放送された『鋼の錬金術師 FULLMETAL ALCHEMIST』の英語名が""Fullmetal Alchemist Brotherhood""。これは2003年に放送された旧アニメ版の英語名""Fullmetal Alchemist""と区別するため。
Brotherhoodは「兄弟の絆」を意味する。
アイコンも『鋼の錬金術師』に出てくる錬金術版魔法陣の""錬成陣""に似ている。",中国はタングステンと鉄鋼を十分保有しており、需要を満たすことができる。クロムの確保は、今後課題となるだろう。,

Paradisus Paradoxum,矛盾の楽園,JAP,Medium,NCNS,日本でプレイして、浄土仏教による国家を宣言する。,"共産ルートに進み国家方針「新たな時代の門出」で労農派を勝たせ、NF「労農派の台頭」で荒畑寒村を指導者にする。
国家方針「無政府主義者との協力」で開放される政治顧問の「辻潤」
国家方針「仏教社会主義者の取り込み」で開放される政治顧問の「妹尾義郎*5」
2人を雇用した状態で国家方針「赤旗を高く掲げろ」のイベント「仏教社会主義の復興」で選択肢「これが我々の進み道だ！」を選択し指導者を「妹尾義郎」にする。
ここで解禁される隠し国家方針「一向一揆の精神を再生させる」と「浄仏国土の宣言」で実績達成。
『Re:ゼロから始める異世界生活』の後期オープニングテーマが元か
アイコンは法輪。
仏教の教えの数々がそれぞれ車輪を支える柱として存在し、車輪が回転するように人々を救い、また仏教が広まっていく様を例えた説法…が法輪の元となる話。
「浄仏国土」とは、穢れの無い仏や菩薩が住む清浄な国土を指す言葉。","装飾タグは「常備国道の宣言」フォーカスを完了すると設定されます。このフォーカスは非表示になっており、「仏教の復興」イベントでアンロックされます。「仏教の復興」イベントは、「赤旗を高く掲げよ」フォーカスをクリアし、かつカンソン・アラハタを国家指導者とし、ジュン・ツジとギロ・セノオを顧問として雇用している場合にのみ発生します。このイベントでは必ずギロ・セノオを選出してください。

カンソン・アラハタは「労働農民派の台頭」フォーカスイベントで選出され、ジュン・ツジは「無政府主義者との協力」フォーカスで、ギロ・セノオは「仏教社会主義の導入」フォーカスでアンロックされます。これら3つのフォーカスはいずれも、「新時代の幕開け」フォーカスイベントで労働農民派を選択する必要があります。

「ジョブブコクド宣言」を完了するには、ソル、北京、トンキンを征服するか、これらの国の支配者と同盟を結ぶ必要があります。",

An Equivalent Exchange,等価交換,JAP,Medium,NCNS,民主日本として、国家方針「外国為替配分政策」を完了し、ファシストドイツを降伏させる,"おそらく経済学や建築業界の用語「等価交換」から。
とはいえDLC「NCNS」のノリを考えると『鋼の錬金術師』の方か？
なお錬金術に「等価交換」を用いるのは『鋼の錬金術師』のオリジナル要素とされる。",降伏に関する実績はどれもそうですが、注意が必要です。たとえあなたがその国を占領している主要国であっても、戦勝点が高い別の敵国に「降伏」してしまうことがあります。通常、あなたが連合国側に加わる場合、ソ連が十分な戦勝点を獲得して、あなたから降伏を奪ってしまう可能性があります。ドイツを占領する前にソ連に宣戦布告し、それまでにできるだけ多くの戦勝点を稼ぐことをお勧めします。ドイツがファシスト国でなくなった場合はこの実績は獲得できないので、非史実的な設定では試さないでください。,

The Sun Will Never Set,旭日の沈まない国,JAP,Easy,NCNS,史実日本として、国家方針「不滅の帝国」を完了し、その中核州全てを支配する。,アイコンにもあるタコは風刺画で侵略する拡大国家としてよく使われ、日本も周囲を触手プレイで脅かす国として描かれた。,"通常の日本プレイでは、条件を満たしたら適切な国家方針を選択するだけで簡単に入手できます。この国家方針では、以下の地域に中核州が与えられます。

北サハリン

南鳥島

パラオ

カロリン諸島

マーシャル諸島

グアム

ハワイ

ミッドウェー島

ウェーク島

ジョンストン環礁

フェニックス島

ライン諸島

注意点：中核州を完全に支配下に置く必要があるため、中核州を持つ島々の列島すべてを占領するようにしてください。また、北サハリンを巡ってソ連と少なくとも短期間の戦争を行う必要があることにも注意してください。

ドイツが国家方針「東方旧植民地の交渉」を完了すると、日本に旧植民地（中核州を含む）の返還を要求してきます。必ず「いいえ」を選択してください。",

The Juannines,ファニネス,PHI,Medium,NCNS,フィリピンとして、スペインの全中核州を支配しフィリピンの中核州にする。,"国家方針「選挙結果が覆えされた」から始まるフィリピン王国ルートを進む。
国粋派スペインが勝った後に、国家方針「スペインとの和解」で解禁されるディシジョンから「相互援助条約」を提案し自陣営に入れる。
国家方針「フィリピン王国」でで解禁されるディシジョンから「統一を提案」しスペインを併合。
ディシジョンから共和派レジスタンスを鎮圧し中核化すると達成する。
なお史実勝者の国粋派を例に挙げたが、敵に回った無政府以外陣営（カルリスタと共和派）も提案を飲むときは飲む。
また陣営入りや統一を断られても「統合を強制」し中核化できる。
スペイン王アルフォンソ13世の息子「Juan（ファン）」と面白いの「Fun」を掛けている。","「選挙覆し」のヒスパニック系ルートを進んでください。その後、残りのヒスパニック系フォーカスを完了し、「ヒスパニック系への働きかけ」フォーカスを使ってヒスパニック諸国との交渉を進めてください。関係改善と外交圧力工作員の活用をお勧めします。「独立戦争」完了後、米国を1年間拘束して白紙和平イベントを発生させる必要があります。

次に、「フィリピン王国」フォーカスを選択し、派閥加盟国（この場合はスペイン）と統合してください。内戦のため、必要な服従レベルに達したら、スペインの半分を手動で中核州化する必要があります。",

Declare Military Emergency,軍事緊急事態の宣言,PHI,Very Easy,NCNS,フィリピンで軍事緊急事態を宣言する,"国家方針「アイゼンハワー警察署長」を完了した後に国家方針「ケソン暗殺」を完了させる。
ケソンが暗殺されるイベントでアイゼンハワーを介入させるとマッカーサーが「軍事緊急事態の宣言」を行い指導者就任、隠し国家方針が出現する。
イベントひとつひとつの感覚が大変長いのでバグと疑わないように。
現在マッカーサーが元首にならないバグが発生している。
アイコンはマッカーサーの愛用品であったコーンパイプ。","この実績を解除するには、「アイゼンハワー警察長官」のフォーカスを完了した後、「ケソン暗殺」のフォーカスを完了する必要があります。

暗殺イベントでは、「アイゼンハワー警察長官が介入」のオプションを選択してください。実績はマッカーサーが権力を掌握した後に解除されます。一連のイベントにはそれぞれ平均発生時間（MTTH）が設定されているため、暗殺フォーカスを取得してから実績が解除されるまでには時間がかかる場合があります。",

Cobalt Sea,コバルトの海,PHI,Medium,NCNS,フィリピンとして、潜水艦からの核ミサイル攻撃、または核融合ミサイル攻撃に成功する。,"上述の「軍事緊急事態の宣言」を行うと出現する隠し国家方針には核開発を支援するバフが多く用意されている。
海外のサイトではマッカーサールートは素の国力は増えないのでこちらではなく、中核州が増えるフィリピン王国ルートを推奨している。
マッカーサーが朝鮮戦争に対し「満州側の拠点に""原子爆弾を30～50発""投下して中ソの空軍を撃滅し、満州朝鮮沿いに""放射性コバルト""を散布し汚染で進軍させないようにする」計画が元ネタ。
朝鮮戦争が第3次世界大戦に発展することを危惧したトルーマンによって却下され、マッカーサーは指揮官の座を追われることになる。
アイコンはキノコ雲とマッカーサーの愛用品であったサングラス。","これを達成するには、「核ミサイル発射装置」モジュールを搭載した潜水艦（「核ミサイル潜水艦」プロジェクトでアンロック）と、少なくとも「中距離核ミサイル」（「核弾頭」プロジェクトでアンロック）が必要です。

これには、以下の特別プロジェクト（おおよそ順不同）の完了が必要です。

原子炉（物理学、ブレークスルー1）（約720日）

商用原子炉（物理学、ブレークスルー1）（約720日）

原子力エンジン（物理学、ブレークスルー1）（約510日）

巡洋潜水艦（海軍、ブレークスルー1）（約340日）

艦隊潜水艦（海軍、ブレークスルー1）（約510日）

原子力潜水艦（海軍、ブレークスルー3）（約1200日）

弾道ミサイル（空気力学、ブレークスルー3）（約480日）

ミサイル発射潜水艦（海軍、ブレークスルー2）（約510日）

原子力ミサイル潜水艦（海軍、ブレークスルー2）（約1440日）

核分裂爆弾プロジェクト（物理学、ブレークスルー1）（約720日）

弾道ミサイル（空気力学、ブレークスルー3）（約480日）

中距離弾道ミサイル（空気力学、ブレークスルー1）（約480日）

核弾頭（物理学、ブレークスルー1）（約720日）

必要なブレークスルー合計：物理学：5、海軍：9、空気力学：4

したがって、少なくとも空気力学、海軍、物理学の施設がそれぞれ1つずつ必要になります。ただし、エンジンと爆弾の両方を同時に開発できるように、物理学施設は少なくとも2つ設置することをお勧めします。海軍と空気力学のプロジェクトは互いに連携しているため、複数の施設はブレークスルーを増やすためにのみ使用されます。


ブレークスルーの達成にかかる時間を考慮しなくても、この実績を達成できるのは早くても1955年頃です。1940年に核理論の研究を開始し、1941年までかかります。その後、2基の原子炉とエンジンプロジェクトの研究を開始し、1946年半ば頃までかかります。そして、原子力潜水艦の開発に着手できます。これは1950年半ば頃に完了します。その後、原子力ミサイル潜水艦の開発にさらに4年間を費やす必要があります。

この実績を達成するための推奨ルートは2つあります。1つは研究ボーナスが得られる秘密のマッカーサー・ルート、もう1つは施設建設可能な中核領土が大幅に増加する「選挙覆し」ルートです。ブレークスルーがボトルネックになっている場合は、「選挙覆し」ルートの方が適しています。一方、マッカーサー・ルートでは核研究を2年早く開始でき、核関連特別プロジェクトへのスピードボーナスが得られます。ただし、完了する必要のあるプロジェクトの大部分は海軍関連のものであるため、これは全体的にそれほど役に立たない。",

The Neverending Story,はてしない物語,/ GXC / SHX / SIK / XSM / YUN / GDC / GSM / SIC / SND / KAN / XIC / NXM,Hard,NCNS,軍閥として、新たな中華帝国を宣言する,"共産化せず、国民党ルートか対立ルートに進み国家方針が切り替わった後に、中華帝国ルートを進めば達成できる。
ドイツの作家ミヒャエル・エンデの作品『はてしない物語』、およびそれを映画にした『ネバーエンディングストーリー』から。
余談だが、作者のミヒャエルが、映画のラストに納得がいかず訴訟を起こし、最終的にスタッフロールから作者の名前を削除させた話は割と有名。
アイコンは登場キャラである「幸運の白い竜""ファルコン""」","説明文には明記されていませんが、それぞれのフォーカスを取得した後、すべてのコアを完全に支配下に置く（ただし、所有する必要はない）必要があります。これは、連合国との戦争、そして場合によってはソ連との戦争（中国がソ連陣営に加わった場合、または新疆が統一に失敗した場合）を意味するため、難易度が大幅に上がります。あるいは、「沿岸都市の返還要求」フォーカスを取得して国境戦争を仕掛けるという方法もあります。

史実モードで広東派閥を選択し、広西派閥と共通のフォーカスツリーを進めてください。広西派閥と統一し、中国に対して譲歩してはいけません。中国は宣戦布告してきますが、1年間持ちこたえれば白紙和平に応じてくれます。反対派を選択し、CUFや対日戦争には参加せず、中国や軍閥との国境戦争を開始して、時間をかけて領土を奪っていくという方法もあります。反対派のフォーカスツリーの最後のフォーカスを取得すると、国家中国のフォーカスツリーに切り替わりますが、国境戦争のメカニズムはそのまま維持されます。日本が国境を接するようになると、日本はあなたに宣戦布告してきます。どの陣営にも加わらず、統一戦線と共に日本を押し返してください。あなたはどの陣営にも属しておらず、中国全土にコアを有しているため、あなたが征服した領土はすべてあなたの支配下に入り、中国の支配下には入りません。日本を押し返したら（AIが白紙和平を受け入れないため、日本は白紙和平に応じません）、統一戦線に宣戦布告し（この時点で中国は3分の2の州しか残っていないはずです）、降伏させてください。この時点で、香港、マカオ、広州湾を占領すれば、実績が解除されます。",

Genghis Khan't,チンギス・ハント,CHI / PRC / GXC / SHX / SIK / XSM / YUN / GDC / GSM / SIC / SND / KHM / MAN / XIC / NXM,Easy,NCNS,いずれかの中国国家か満州国でプレイして、モンゴルのすべての中核州を領有かつ支配する。,"アイコンはゴーストバスターズのロゴ風にされたチンギス・ハン。
ハン（Khan）と""できない""を意味する「can't」を掛けている。",通常の歴史ゲームでは、日本を追い出した後、枢軸国としてロシアを倒せば簡単に達成できます。しかし、非歴史ゲームでは驚くほど簡単にできます。ロシアが代替歴史ルート、特に帝政ロシアルートを選択した場合、モンゴルは陣営から離脱し、容易に征服できます。,

"I Have Avenged You, Father!",父上、貴方の仇を討ちました！,XIC,Hard,NCNS,張学良として奉天を奪還し、北洋政府を復活させる,"父上とは言わずもがな、関東軍によって爆殺された張作霖、なおアジアの汎用将軍に彼の顔が使用されている。
2022年に公開されたアメリカ映画『ノースマン 導かれし復讐者』にて、父上である王が王の弟によって殺害され、主人公が島から脱出した時のセリフ""I will avenge you, Father!""が元ネタか。",史実に忠実にプレイする必要はありません。日本が軍に反旗を翻すまでゲームをやり直してください。満州国が独立し、1対1で勝利できるようになります。,

Manifesting a Better Tomorrow,より良い明日へ,,Very Easy,NCNS,陣営マニフェスト達成率100%を達成する,,チェコスロバキアとしてプレイし、「我々独自の協商」フォーカスを完了することで、非常に簡単かつ迅速に完了できます。派閥はマニフェスト100%で開始します。,

Doctrine of Choice,選択の教義,,Easy,NCNS,同一分岐内の3つのサブドクトリンを完了する,陸軍のドクトリンで例えるなら、歩兵サブドクトリンのどれか3つを達成すればよい。,この説明はやや分かりにくいですが、実際に必要なのは、いずれかのサブドクトリンを完全に完了し、別のサブドクトリンに切り替えて、それを2回完了することです。（例：歩兵の「防御態勢」サブドクトリンを完全に完了し、次に突撃歩兵に切り替えるなど）。,

"I'm playing both sides, so I always come out on top",両方に味方している私は常に勝者だ,CZE,Very Easy,PfOT,内戦の両陣営に武器を売る。,"アメリカのコメディドラマ「フィラデルフィアは今日も晴れ（It's Always Sunny in Philadelphia）」のセリフ「I’m playing both sides, so that I always come out on top」が元ネタ。","この要素が有効になっている場合、チェコスロバキアが政策によって武器を販売できる国はスペインのみとなります。この要素が無効になっている場合、チェコスロバキアは「シュコダの事務所を拡大する」を完了し、地域事務所を建設した後、世界中のどの国にも武器を販売できるようになります。
チェコスロバキアとして最も簡単な方法は、「スペイン内戦の利益」を完了し、スペインに武器を販売することです。",

